feature,baseline_wape,permuted_wape,importance,importance_percent
NT_Avg Line,0.01283204,0.035690516,0.022858476,33.668213
MT_Universe percent,0.01283204,0.03214599,0.019313948,28.447485
NT_Universe,0.01283204,0.019618314,0.006786274,9.995493
Spend per Trip,0.01283204,0.01761172,0.0047796797,7.039983
Penetration,0.01283204,0.017036539,0.0042044986,6.1927996
NT_Price per kg,0.01283204,0.015476918,0.0026448779,3.8956366
Frequency,0.01283204,0.015352408,0.0025203684,3.712247
NT_CWD,0.01283204,0.01412228,0.0012902403,1.900393
Volume per Trip,0.01283204,0.0140642105,0.0012321705,1.8148621
Row Labels,0.01283204,0.013826786,0.0009947456,1.4651594
Month_cos,0.01283204,0.013593272,0.00076123234,1.121218
MKT_SDESC,0.01283204,0.013338869,0.00050682947,0.74650836
Month,0.01283204,0.01283204,0.0,0.0
Month_sin,0.01283204,0.012831806,-2.3376197e-07,0.0
