Row Labels,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
0,0.21390748,0.2417531,0.17295504,0.19354582,0.117874384,0.10101986,0.085139036,0.08640051,0.050550938,0.10362148,0.12251878,0.08914137,0.14911795,0.14734864,0.18222833,0.13704729,0.19342852
1,0.12666965,0.11312175,0.14283323,0.24741173,0.18727589,0.17782307,0.1846335,0.19148397,0.19039035,0.10171056,0.15660691,0.16356015,0.039060116,0.1699214,0.060361624,0.11272216,0.15829587
2,0.28821206,0.2575934,0.24487567,0.24952531,0.18168283,0.33076692,0.094177246,0.13708329,0.060284853,0.4821136,0.25853157,0.7187731,0.27957606,0.22354841,0.2942748,0.0994935,0.42511964
3,0.12704468,0.66319156,0.30263925,0.57402706,0.17653513,0.36571693,0.20920277,0.41242218,0.16546941,0.1943376,0.17743993,0.15206909,0.2860992,0.17212892,0.41868663,0.13942671,0.58467674
4,0.034077644,0.13138437,0.11198068,0.052449703,0.0890429,0.0988915,0.12324762,0.09203696,0.10972762,0.103662014,0.057637453,0.1555779,0.0987072,0.094638586,0.12202597,0.14214635,0.12388492
5,0.19325566,0.23048258,0.4558022,0.26724577,0.5153742,0.20319486,0.2955799,0.054252148,0.09193683,0.04826331,0.06960392,0.05532694,0.11457515,0.14921713,0.09060073,0.2584448,0.15360308
6,0.18889284,0.17497015,0.10397625,0.12260008,0.13154268,0.12109208,0.17475557,0.20563126,0.07039428,0.18352747,0.079175234,0.18324542,0.06698108,0.098155975,0.16520596,0.1106894,0.1281209
7,0.12488818,0.18713737,0.14032412,0.17507648,0.06334019,0.1916728,0.08904457,0.104668856,0.058951855,0.12889934,0.05021286,0.10818148,0.09519267,0.09924579,0.14345908,0.12055755,0.18825793
8,0.08990383,0.04980755,0.107483864,0.07190275,0.08217931,0.088146925,0.16998148,0.124761105,0.23251843,0.14580035,0.17599988,0.19633102,0.23018384,0.16186404,0.24550056,0.10163975,0.03754902
9,0.14073849,0.16989613,0.21467495,0.21769364,0.44487476,0.15828578,0.3654674,0.097382225,0.0881513,0.099357605,0.07842159,0.08813921,0.035413105,0.05358823,0.03238392,0.024238586,0.016478062
0.06,0.0626,0.0654,0.0698,0.0703,0.0912,0.0647,0.0839,0.0589,0.0581,0.0591,0.0572,0.0580,0.0531,0.0549,0.0529,0.0521,0.0514
