,Unnamed: 0,MAE,RMSE,sMAPE,WAPE,Category
0,0,0.14044698,0.17161128,1.0043278,0.009976084,BAGS
1,1,0.14846364,0.18999378,1.0742874,0.010649298,BARS
2,2,0.272096,0.42237157,2.0961487,0.0216783,BITESIZE
3,3,0.301242,0.43713266,2.1729352,0.021583254,BOXED CHOCOLATE
4,4,0.10241879,0.12964033,0.7709824,0.007593708,FRUITY CONFECTIONS
5,5,0.19098583,0.2920023,1.604502,0.01566799,GUM
6,6,0.13582098,0.17271113,1.2515163,0.0120740365,IMPULSE FANCY
7,7,0.12171242,0.15905428,1.0518949,0.010758085,MEDICINAL
8,8,0.13597375,0.1833622,0.895131,0.0089116,MINTS
9,9,0.14380114,0.22059274,0.9557751,0.009566566,TABLETS
10,9,0.14380114,0.02059274,0.1557751,0.003566566,TAKE HOME LOOSE KONFETY
